title,genre,director,cast
The Holdovers,"Comedy, Drama",Alexander Payne,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston"
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz"
The Garfield Movie,"Animation, Adventure, Comedy",Mark Dindal,"Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames"
Rebel Moon - Part Two: The Scargiver,"Action, Adventure, Drama",Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman"
The Gentlemen,"Action, Crime",Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
The Crow,"Action, Crime, Fantasy",Rupert Sanders,"Bill Skarsgård, FKA twigs, Danny Huston, Laura Birn"
Kung Fu Panda 4,"Animation, Action, Adventure",Mike Mitchell,"Stephanie Stine, Jack Black, Awkwafina, Viola Davis, Dustin Hoffman"
The Zone of Interest,"Drama, History, War",Jonathan Glazer,"Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte"
Despicable Me 4,"Animation, Adventure, Comedy",Chris Renaud,"Patrick Delage, Steve Carell, Kristen Wiig, Joey King, Will Ferrell"
The Godfather,"Crime, Drama",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton"
Immaculate,Horror,Michael Mohan,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli"
Planet of the Apes,"Adventure, Sci-Fi",Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans"
Pamyo,"Horror, Mystery, Thriller",Jae-hyun Jang,"Kim Go-eun, Choi Min-sik, Lee Do-hyun, Yoo Hae-jin"
Barbie,"Adventure, Comedy, Fantasy",Greta Gerwig,"Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon"
Titanic,"Drama, Romance",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
In the Land of Saints & Sinners,"Action, Crime, Thriller",Robert Lorenz,"Kerry Condon, Desmond Eastwood, Conor MacNeill, Seamus O'Hara"
Where the Crawdads Sing,"Drama, Mystery, Romance",Olivia Newman,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn"
In a Violent Nature,"Drama, Horror, Thriller",Chris Nash,"Ry Barrett, Andrea Pavlovic, Cameron Love, Reece Presley"
Unsung Hero,"Drama, Family",Richard L. Ramsey,"Joel Smallbone, Daisy Betts, Joel Smallbone, Kirrilee Berger, Jonathan Jackson"
Rebel Moon - Part One: A Child of Fire,"Action, Adventure, Drama",Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman"
Purple Hearts,"Drama, Music, Romance",Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim"
A Quiet Place: Day One,"Drama, Horror, Sci-Fi",Michael Sarnoski,"Joseph Quinn, Djimon Hounsou, Lupita Nyong'o, Alex Wolff"
Arthur the King,"Adventure, Drama",Simon Cellan Jones,"Mark Wahlberg, Simu Liu, Juliet Rylance, Nathalie Emmanuel"
X,"Horror, Mystery, Thriller",Ti West,"Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi"
"Red, White & Royal Blue","Comedy, Romance",Matthew López,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman, Jemma Redgrave"
The Shawshank Redemption,Drama,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
Boy Kills World,"Action, Crime, Thriller",Moritz Mohr,"Bill Skarsgård, Jessica Rothe, Michelle Dockery, Brett Gelman"
Twister,"Action, Adventure, Thriller",Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz"
Madame Web,"Action, Adventure, Sci-Fi",S.J. Clarkson,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor"
The Strangers: Chapter 1,Horror,Renny Harlin,"Madelaine Petsch, Ryan Bown, Matus Lajcak, Olivia Kreutzova"
Anatomie d'une chute,"Crime, Drama, Thriller",Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz"
Interstellar,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
Star Wars,"Action, Adventure, Fantasy",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
Saltburn,"Drama, Thriller",Emerald Fennell,"Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant"
Once Upon a Time in... Hollywood,"Comedy, Drama",Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch"
Dark Waters,"Biography, Drama, History",Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman"
Land of Bad,"Action, Thriller",William Eubank,"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle"
Wish,"Animation, Adventure, Comedy",Chris Buck,"Fawn Veerasunthorn, Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral"
The Equalizer 3,"Action, Crime, Thriller",Antoine Fuqua,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman"
Force of Nature: The Dry 2,"Crime, Mystery, Thriller",Robert Connolly,"Eric Bana, Anna Torv, Deborra-Lee Furness, Robin McLeavy"
Chief of Station,"Action, Thriller",Jesse V. Johnson,"Aaron Eckhart, Olga Kurylenko, Alex Pettyfer, Chris Petrovski"
New Life,"Horror, Thriller",John Rosman,"Sonya Walger, Hayley Erin, Tony Amendola, Jeb Berrier"
